,ID,word1,word2,PoS,Annotator 1,Annotator 2,Annotator 3,Annotator 4,Annotator 5,Annotator 6,Annotator 7,Annotator 8,Annotator 9,Annotator 10,Annotator 11,avg_anno
1073,1074,长,狭窄,adjectives,0,0,0,1,0,0,0,0,0,0,2,0.27
1062,1063,内疚,羞愧,adjectives,2,6,6,5,4,5,3,3,5,4,5,4.36
1138,1139,暴力,被动,adjectives,0,0,0,0,0,0,0,0,0,0,0,0
1064,1065,闷,平庸,adjectives,0,0,0,0,2,3,2,0,0,1,2,0.91
1171,1172,害羞,昂贵,adjectives,0,0,0,0,0,0,0,0,0,0,0,0
1255,1256,不同,正常,adjectives,0,0,0,0,0,0,0,0,0,0,0,0
1077,1078,自豪,傲慢,adjectives,5,2,2,3,2,4,0,3,5,4,2,2.91
1051,1052,愉快,快乐,adjectives,3,6,6,5,4,5,4,5,6,4,6,4.91
1094,1095,粗糙,无礼,adjectives,0,0,0,2,2,1,0,0,0,0,0,0.45
1251,1252,坚硬,密度大,adjectives,0,5,6,3,1,4,0,2,3,4,0,2.55
1058,1059,无实体,心灵,adjectives,0,0,4,3,2,6,3,4,4,1,2,2.64
1276,1277,开心,高兴,adjectives,6,6,5,5,5,5,6,6,6,5,6,5.55
1195,1196,开心,疯狂,adjectives,0,0,0,3,0,4,2,0,0,1,0,0.91
1141,1142,合法,允许,adjectives,3,3,1,3,3,4,0,4,3,2,2,2.55
1227,1228,和蔼,残酷,adjectives,0,0,0,0,0,0,0,0,0,0,0,0
1108,1109,胆大,自豪,adjectives,0,0,0,1,0,3,0,0,0,2,2,0.73
1156,1157,坏,平庸,adjectives,0,0,0,1,0,0,0,0,0,0,0,0.09
1102,1103,煮熟的,水煮,adjectives,0,5,5,3,2,3,3,3,1,1,2,2.55
1082,1083,残忍,不公平,adjectives,0,0,0,1,0,2,0,0,0,0,2,0.45
1267,1268,不需要,必须,adjectives,0,0,0,2,0,0,0,0,0,0,0,0.18
1223,1224,沈闷,枯燥,adjectives,0,6,6,4,4,5,4,5,5,1,3,3.91
1248,1249,自由,无辜,adjectives,0,0,0,1,0,0,0,0,0,0,0,0.09
1158,1159,善良,大方,adjectives,2,0,4,4,3,1,0,3,3,1,1,2
1265,1266,弱,辣,adjectives,0,0,0,0,0,0,0,0,0,0,0,0
1137,1138,兴奋,受惊,adjectives,0,5,0,1,0,0,0,0,0,0,0,0.55
1238,1239,无知,频繁,adjectives,0,0,0,1,0,0,0,0,0,0,0,0.09
1174,1175,怪诞,奇怪,adjectives,4,6,5,5,4,6,4,3,5,3,6,4.64
1113,1114,人造,假,adjectives,4,1,2,3,2,4,3,5,2,3,4,3
1278,1279,电动,甜,adjectives,0,0,0,0,0,0,0,0,0,0,0,0
1199,1200,婚外,不可說出口的,adjectives,0,0,0,3,0,6,0,3,3,3,1,1.73
1203,1204,笨,傻,adjectives,5,6,5,5,5,5,6,6,6,4,5,5.27
1284,1285,个人,私人,adjectives,4,4,6,6,3,4,3,5,5,4,3,4.27
1180,1181,瘦,苗条,adjectives,4,6,6,5,3,5,3,5,5,2,5,4.45
1194,1195,奇怪,古怪,adjectives,6,5,5,5,6,6,5,5,6,6,5,5.45
1153,1154,灵活,松动,adjectives,0,1,4,3,3,2,0,3,2,1,1,1.82
1185,1186,强大,强大,adjectives,5,3,5,4,4,5,5,5,4,4,4,4.36
1266,1267,大,柔韧,adjectives,0,0,0,1,0,0,0,0,0,2,0,0.27
1085,1086,脆弱,简单,adjectives,0,0,0,2,0,0,0,0,0,0,0,0.18
1230,1231,粘人,缺乏信心,adjectives,0,0,0,0,0,0,0,0,0,1,0,0.09
1220,1221,显著的,明显,adjectives,0,0,6,5,5,6,4,5,4,5,6,4.18
1163,1164,暴力,柔软,adjectives,0,0,0,0,0,0,0,0,0,0,0,0
1256,1257,害怕,急,adjectives,0,0,0,1,0,0,0,0,0,1,0,0.18
1121,1122,非法,不道德,adjectives,0,3,1,3,3,4,2,3,1,2,2,2.18
1268,1269,严酷,残酷,adjectives,1,6,5,5,4,6,5,3,4,4,4,4.27
1125,1126,粗糙,丑陋,adjectives,0,0,1,3,1,0,0,0,0,0,0,0.45
1134,1135,难以置信,普通,adjectives,0,0,0,0,0,0,0,0,0,0,0,0
1236,1237,尖,平滑,adjectives,0,0,0,2,0,0,0,0,0,0,0,0.18
1224,1225,容易,灵活,adjectives,0,0,2,1,0,2,0,0,0,0,0,0.45
1206,1207,满载,沉重,adjectives,0,3,0,1,1,0,0,0,0,1,2,0.73
1218,1219,轻松,强调,adjectives,0,0,0,0,0,0,0,0,0,0,0,0
1126,1127,中性,未拿定主意,adjectives,0,0,0,0,0,3,0,0,0,4,0,0.64
1166,1167,闻名,国民,adjectives,0,0,0,0,0,0,0,0,0,0,0,0
1055,1056,乱,清洁,adjectives,0,0,0,0,0,0,0,0,0,0,1,0.09
1288,1289,新,新鲜,adjectives,3,4,5,4,4,5,5,6,3,4,1,4
1285,1286,孩子气,傻,adjectives,3,1,5,3,4,5,2,3,2,2,2,2.91
1111,1112,愉快,精彩,adjectives,4,3,4,3,2,3,0,3,2,1,3,2.55
1127,1128,旧,杂,adjectives,0,0,0,0,0,0,0,0,0,0,0,0
1209,1210,羞耻,心烦,adjectives,0,2,0,1,0,0,0,0,0,0,0,0.27
1088,1089,普通,冷,adjectives,0,0,0,0,0,0,0,0,0,0,0,0
1172,1173,生病,疯,adjectives,0,3,0,1,0,6,0,0,0,0,0,0.91
1216,1217,每月,每周,adjectives,2,2,0,3,3,3,0,1,0,2,2,1.64
1876,1877,仁慈地,温和地,adverbs,5,5,5,4,2,5,2,3,3,0,3,3.36
1816,1817,不同的,奇怪地,adverbs,0,2,0,1,0,1,0,0,0,0,0,0.36
1857,1858,和平地,混乱,adverbs,0,0,0,0,0,0,0,0,0,0,0,0
1765,1766,好心地,仁慈地,adverbs,5,6,6,5,4,5,4,3,5,3,5,4.64
1873,1874,显然,不显眼地,adverbs,0,0,0,2,0,2,0,0,0,0,0,0.36
1832,1833,大声地,微妙地,adverbs,0,0,0,0,0,0,0,0,0,0,0,0
1803,1804,异常,奇怪地,adverbs,4,2,5,4,5,6,4,2,3,1,5,3.73
1773,1774,谨慎地,有礼貌地,adverbs,0,2,1,2,0,2,0,0,0,0,0,0.64
1769,1770,异常地,一般,adverbs,0,0,0,0,0,0,0,0,0,0,0,0
1886,1887,在家里,在别处,adverbs,0,0,0,2,0,2,0,0,0,0,0,0.36
1841,1842,理想地,实际地,adverbs,0,0,0,1,0,1,0,0,0,0,0,0.18
1788,1789,通常,日常,adverbs,4,0,2,3,2,3,5,5,5,3,3,3.18
1771,1772,准确地,积极地,adverbs,0,3,0,1,2,1,0,0,0,0,0,0.64
1783,1784,今天晚上,今天,adverbs,0,2,4,4,2,4,3,3,3,0,1,2.36
1844,1845,两次,总是,adverbs,0,0,0,0,0,0,0,0,0,0,0,0
1790,1791,最近,现实地,adverbs,0,0,0,0,0,0,0,0,0,0,0,0
1869,1870,粗糙地,大致,adverbs,0,0,2,1,1,1,0,0,5,0,0,0.91
1795,1796,死气沉沉的,高高兴兴地,adverbs,0,0,0,2,0,2,0,0,0,0,0,0.36
1827,1828,稍微地,大致,adverbs,3,0,4,2,0,2,4,3,2,1,1,2
1799,1800,大致地,容易地,adverbs,0,0,0,0,0,0,0,0,0,0,0,0
1807,1808,准确地,精确地,adverbs,6,6,6,6,5,6,6,5,4,4,6,5.45
1850,1851,两次,多,adverbs,0,0,0,0,0,2,0,0,0,0,0,0.18
1786,1787,紧紧地,难以置信地,adverbs,0,0,0,0,0,0,0,0,0,0,0,0
1852,1853,有时,每当,adverbs,0,0,0,2,0,4,0,0,0,0,0,0.55
1824,1825,极其,非常,adverbs,4,6,6,4,4,4,5,6,6,1,4,4.55
1831,1832,看来,显然,adverbs,0,3,4,0,1,5,1,2,3,1,1,1.91
1798,1799,紧张地,焦急地,adverbs,5,6,5,5,3,5,2,4,4,1,2,3.82
1833,1834,通常,很少地,adverbs,0,0,0,0,0,4,0,0,0,0,0,0.36
1768,1769,有意义地,特别,adverbs,0,5,4,5,4,5,4,3,3,0,0,3
1794,1795,重要地,真实地,adverbs,0,0,0,0,0,0,0,0,0,0,0,0
1814,1815,自豪的,谦逊地,adverbs,0,1,0,2,0,2,0,0,0,0,0,0.45
625,626,香芹,松饼,nouns,0,0,0,0,0,0,0,0,0,0,0,0
889,890,女儿,孩子,nouns,2,3,4,3,3,5,2,3,5,1,1,2.91
515,516,闪电攻击,攻击,nouns,5,6,5,3,3,1,3,3,5,2,2,3.45
31,32,战斗,好斗,nouns,5,4,1,5,2,4,2,5,3,1,1,3
577,578,作曲家,作家,nouns,5,0,2,0,2,3,3,3,5,4,1,2.55
216,217,主机板,主板,nouns,0,6,6,2,3,2,0,6,4,4,3,3.27
876,877,船,车,nouns,0,1,0,1,0,0,0,0,0,1,1,0.36
952,953,无穷,零,nouns,0,0,0,0,0,0,0,0,0,0,0,0
404,405,床,家俱,nouns,1,4,5,3,3,5,3,5,4,3,3,3.55
834,835,诗,韵律,nouns,0,0,0,0,0,1,0,0,0,0,3,0.36
597,598,肚子,卧室,nouns,0,0,0,0,0,0,0,0,0,0,0,0
361,362,岩浆,火山,nouns,0,3,0,2,0,0,0,5,4,2,1,1.55
315,316,碗,尾巴,nouns,0,0,0,0,0,0,0,0,0,0,0,0
569,570,奖学金,学费,nouns,0,1,0,1,0,5,0,0,0,1,0,0.73
723,724,政治家,总统,nouns,3,3,5,1,3,5,0,3,5,2,4,3.09
807,808,泡,肥皂泡沫,nouns,5,4,5,3,4,4,3,3,5,1,4,3.73
369,370,节奏,旋律,nouns,5,3,6,4,2,5,2,6,3,3,1,3.64
1001,1002,校园,大学,nouns,3,2,4,3,4,5,0,2,3,2,3,2.82
417,418,锡,金属,nouns,3,4,5,4,2,4,0,3,2,1,2,2.73
403,404,草,刀口,nouns,0,0,0,0,0,0,0,0,0,0,0,0
858,859,多面体,演员,nouns,0,0,0,0,0,0,0,0,0,0,0,0
976,977,日期,日历,nouns,0,4,5,4,2,5,0,3,2,2,3,2.73
781,782,门,走廊,nouns,0,0,0,1,0,1,0,0,0,0,2,0.36
9,10,皇帝,宪法,nouns,0,0,0,0,0,0,0,0,0,1,0,0.09
865,866,丰富,许多,nouns,5,3,5,4,2,5,4,5,5,4,4,4.18
882,883,原木,沐浴,nouns,0,0,0,0,0,0,0,0,0,0,0,0
603,604,雨,薄雾,nouns,0,3,0,1,0,4,0,0,0,1,0,0.82
686,687,苹果,柠檬,nouns,0,0,0,1,0,0,0,0,0,0,1,0.18
109,110,幸福,悲伤,nouns,0,0,0,0,0,0,0,0,0,0,0,0
701,702,走道,大厅,nouns,0,0,0,0,0,1,0,0,0,0,1,0.18
985,986,红酒,酒,nouns,4,5,5,5,3,6,3,3,3,2,5,4
445,446,导演,摄影,nouns,3,2,0,0,1,3,0,0,1,1,2,1.18
576,577,老鹰,猎鹰,nouns,3,6,4,5,2,3,0,3,0,4,5,3.18
482,483,周末,种族,nouns,0,0,0,0,0,0,0,0,0,0,0,0
440,441,书,圣经,nouns,0,3,4,3,3,3,0,3,3,3,1,2.36
277,278,财富,名誉,nouns,0,3,1,3,2,2,0,0,0,0,0,1
391,392,尾巴,后部,nouns,3,3,2,3,3,5,0,5,5,2,1,2.91
821,822,手臂,骨头,nouns,0,0,0,0,2,2,0,0,0,0,1,0.45
273,274,海滩,暗礁,nouns,0,2,0,0,0,0,0,0,0,0,0,0.18
93,94,过道,走廊,nouns,5,4,6,5,4,3,5,5,5,1,4,4.27
476,477,薄荷,博物馆,nouns,0,0,0,0,0,0,0,0,0,0,0,0
365,366,游戏,乐趣,nouns,0,1,0,0,0,2,0,0,0,2,0,0.45
479,480,枪,大炮,nouns,2,3,0,3,2,5,0,2,0,1,1,1.73
366,367,深度,大小,nouns,0,1,2,1,0,4,0,0,0,1,0,0.82
80,81,作者,创造者,nouns,6,3,5,4,6,3,3,5,3,4,2,4
849,850,合金,钢,nouns,3,5,5,2,3,4,3,3,5,5,4,3.82
622,623,威士忌酒,杜松子酒,nouns,0,2,0,1,2,5,0,3,2,0,3,1.64
668,669,罐,瓶子,nouns,5,5,2,0,2,3,0,3,5,0,3,2.55
854,855,报纸,资料,nouns,0,2,3,2,3,2,3,0,0,2,2,1.73
1000,1001,航空,飞行,nouns,4,4,5,4,3,5,0,0,0,4,4,3
489,490,汽车,软管,nouns,0,0,0,0,0,1,0,0,0,0,0,0.09
884,885,募捐,发展,nouns,0,1,0,0,0,0,0,0,0,0,0,0.09
667,668,房间,大厦,nouns,0,0,0,1,0,1,0,0,0,0,0,0.18
334,335,树枝,手臂,nouns,0,0,0,0,0,1,0,0,0,0,0,0.09
102,103,法庭,正义,nouns,0,0,0,0,0,6,0,0,0,3,1,0.91
144,145,女孩,小孩,nouns,0,3,4,4,3,5,2,5,3,1,2,2.91
764,765,雪,风暴,nouns,0,2,2,1,0,1,0,0,0,2,1,0.82
939,940,音乐,旋律,nouns,4,5,0,4,4,5,3,3,5,4,3,3.64
244,245,公主,饼干,nouns,0,0,0,0,0,0,0,0,0,0,0,0
462,463,任务,女人,nouns,0,0,0,0,0,0,0,0,0,0,0,0
638,639,猫,狮子,nouns,0,0,0,2,0,5,0,0,0,1,2,0.91
385,386,电影,剧院,nouns,4,5,0,2,2,4,0,0,0,3,1,1.91
388,389,态度,自信,nouns,2,0,0,1,1,3,2,3,0,1,1,1.27
343,344,老师,教练,nouns,0,3,3,3,2,5,0,3,2,3,1,2.27
611,612,续集,相机,nouns,0,0,0,0,0,1,0,0,0,0,0,0.09
416,417,意外,书,nouns,0,0,0,0,0,0,0,0,0,0,0,0
221,222,文章,杂志,nouns,0,3,0,3,3,4,2,3,3,1,1,2.09
511,512,母鸡,火鸡,nouns,0,3,3,4,2,3,0,4,3,0,3,2.27
935,936,缺席,在场,nouns,0,0,0,1,0,0,0,0,0,0,1,0.18
657,658,客串角色,性能,nouns,0,0,0,1,0,0,0,0,0,0,0,0.09
588,589,便士,便宜货,nouns,0,0,0,0,0,1,0,0,0,0,0,0.09
702,703,床,医院,nouns,0,0,0,2,0,1,0,0,0,0,2,0.45
119,120,牛,山羊,nouns,0,2,0,0,0,1,0,0,0,1,1,0.45
298,299,血液,骨髓,nouns,0,1,0,0,0,3,0,0,0,0,0,0.36
113,114,足球,英式足球,nouns,3,6,5,5,5,6,5,3,3,1,5,4.27
1039,1040,尖顶,教堂,nouns,0,0,0,0,0,4,0,0,0,0,4,0.73
971,972,木,原木,nouns,6,3,5,4,5,6,3,3,5,1,5,4.18
74,75,车,高速公路,nouns,0,1,0,0,0,0,0,0,0,0,0,0.09
85,86,章,选择,nouns,0,0,1,0,0,0,0,0,0,0,0,0.09
233,234,幸福,和平,nouns,2,2,3,3,2,6,0,3,1,2,1,2.27
654,655,喷嘴,流体,nouns,0,0,0,0,0,0,0,0,0,0,0,0
393,394,洞,协议,nouns,0,0,0,0,0,0,0,0,0,0,0,0
908,909,踝,窗口,nouns,0,0,0,0,0,0,0,0,0,0,0,0
598,599,早餐,培根,nouns,0,0,0,1,2,1,0,0,0,1,0,0.45
604,605,小说,作家,nouns,0,0,0,0,0,1,0,0,0,0,0,0.09
535,536,病人,复诊,nouns,0,0,0,0,0,2,0,0,0,2,0,0.36
419,420,大灾变,火,nouns,0,0,0,1,0,5,0,0,0,1,2,0.82
986,987,冠军,优胜者,nouns,6,5,6,6,5,5,6,5,5,6,6,5.55
1007,1008,侵略,敌意,nouns,3,1,2,0,2,5,0,0,2,1,2,1.64
787,788,协议,条件,nouns,0,3,4,3,2,5,0,1,2,2,3,2.27
45,46,滑雪板,滑雪,nouns,0,2,1,3,3,5,0,0,0,1,1,1.45
422,423,工作者,雇主,nouns,0,0,0,2,0,1,0,0,0,0,0,0.27
454,455,蔗糖,糖类,nouns,0,6,5,4,2,4,3,3,5,4,1,3.36
692,693,洗手间,厨房,nouns,0,0,0,0,0,2,0,0,0,0,0,0.18
828,829,帮手,女仆,nouns,3,4,4,3,1,2,2,2,5,1,1,2.55
384,385,士兵,和平,nouns,0,0,0,1,0,0,0,0,0,0,0,0.09
191,192,感觉,直觉,nouns,5,4,5,3,2,6,3,3,4,5,5,4.09
182,183,子程序,编译器,nouns,0,0,0,3,1,4,0,0,0,0,0,0.73
294,295,洞,妻子,nouns,0,0,0,1,0,6,0,0,0,0,0,0.64
894,895,狗,马,nouns,0,1,0,1,0,4,0,0,0,1,2,0.82
770,771,乐队,管弦乐队,nouns,3,6,5,5,2,5,3,3,4,3,4,3.91
372,373,衣服,外套,nouns,4,4,5,4,4,0,3,3,3,3,3,3.27
457,458,荣誉,敬重,nouns,0,0,0,0,0,4,0,0,0,3,0,0.64
346,347,谷,凹地,nouns,0,0,6,3,0,5,0,5,3,2,3,2.45
87,88,课程,肚子,nouns,0,0,0,0,0,0,0,0,0,0,0,0
670,671,天神,魔鬼,nouns,0,0,0,1,0,0,0,0,0,0,0,0.09
762,763,身体,脊柱,nouns,0,0,3,0,2,1,2,1,4,1,1,1.36
453,454,规则,惯例,nouns,4,1,4,3,3,2,2,2,3,2,2,2.55
296,297,苍蝇,蚂蚁,nouns,0,3,0,2,0,1,0,0,0,0,1,0.64
18,19,骨头,牙齿,nouns,0,0,3,1,1,0,0,0,0,1,1,0.64
924,925,力量,能力,nouns,4,1,3,4,3,5,2,3,3,1,3,2.91
333,334,床,毯子,nouns,0,0,0,1,0,0,0,0,0,0,0,0.09
321,322,便条,作业,nouns,0,0,0,0,0,5,0,0,0,0,0,0.45
957,958,汽车,货车,nouns,4,4,0,3,2,4,3,3,5,1,2,2.82
498,499,身体,胸部,nouns,0,0,4,3,2,2,3,2,2,1,3,2
136,137,商业,工业,nouns,0,3,0,1,4,0,0,0,0,1,1,0.91
112,113,肾,器官,nouns,3,5,5,5,4,6,5,3,3,4,5,4.36
256,257,晚上,章节,nouns,0,0,0,0,0,0,0,0,0,0,0,0
683,684,大麻,草药,nouns,2,1,5,3,3,4,2,2,3,1,3,2.64
448,449,重新安葬,坟墓,nouns,0,1,0,1,2,2,0,0,0,1,0,0.64
348,349,人,一分钱,nouns,0,0,0,0,0,0,0,0,0,0,0,0
934,935,恶意软件,蠕虫,nouns,3,0,4,0,3,0,0,0,0,0,0,0.91
151,152,人物,人,nouns,0,5,5,4,6,3,4,6,5,5,4,4.27
40,41,爆玉米花,电影,nouns,0,0,0,1,0,3,0,0,0,1,0,0.45
517,518,蝴蝶,玫瑰,nouns,0,0,0,0,0,6,0,0,0,0,0,0.55
232,233,自行车,卧室,nouns,0,0,0,0,0,0,0,0,0,0,0,0
133,134,鸵鸟,果园,nouns,0,0,0,0,0,0,0,0,0,0,0,0
14,15,蜥蜴,鳄鱼,nouns,0,3,0,1,0,0,0,0,0,0,1,0.45
100,101,河流,大海,nouns,4,3,1,2,3,4,0,1,2,1,2,2.09
322,323,领导,经理,nouns,0,3,3,2,2,1,3,3,2,2,1,2
130,131,容器,老鼠,nouns,0,0,0,0,0,0,0,0,0,0,0,0
255,256,司机,飞行员,nouns,0,2,2,1,4,5,0,0,0,2,0,1.45
504,505,检察官,律师,nouns,3,3,4,1,1,3,0,0,1,0,1,1.55
358,359,眉头,眼睛,nouns,0,0,0,1,2,1,0,0,0,2,0,0.55
207,208,米,码,nouns,0,0,2,3,6,5,0,3,3,1,2,2.27
379,380,队长,水手,nouns,0,0,0,0,1,0,0,0,0,0,0,0.09
203,204,工人,机械师,nouns,2,3,4,1,3,3,0,3,3,3,1,2.36
961,962,首词,句法,nouns,0,0,0,2,0,0,0,0,0,1,2,0.45
