,ID,word1,word2,PoS,Annotator 1,Annotator 2,Annotator 3,Annotator 4,Annotator 5,Annotator 6,Annotator 7,Annotator 8,Annotator 9,Annotator 10,Annotator 11,avg_anno
285,286,海军,军队,nouns,4,5,5,2,2,5,4,3,6,2,4,3.82
17,18,车,出租车,nouns,3,4,5,4,2,2,4,3,3,3,5,3.45
370,371,公式,日志,nouns,0,0,0,0,0,0,0,0,0,0,0,0
458,459,飞机,机场,nouns,0,3,0,1,1,4,0,0,0,1,2,1.09
525,526,云,薄雾,nouns,3,1,3,3,3,4,2,2,5,4,2,2.91
350,351,密码,标志,nouns,0,0,0,0,0,1,0,0,0,0,0,0.09
751,752,手臂,脖子,nouns,0,0,0,1,0,0,0,0,0,0,1,0.18
320,321,词,页,nouns,0,0,0,0,0,0,0,0,0,0,0,0
206,207,航空电子学,航空学,nouns,0,4,4,4,3,4,3,2,3,3,4,3.09
406,407,飞机场,片,nouns,0,0,0,0,0,0,0,0,0,0,0,0
521,522,历史学家,史学家,nouns,5,6,6,5,6,5,6,6,4,6,6,5.55
648,649,篱笆,跳跃,nouns,0,0,0,0,0,0,0,0,0,0,0,0
797,798,后世,炼狱,nouns,0,0,0,1,0,0,0,0,0,0,0,0.09
503,504,电动机,发动机,nouns,0,3,2,4,2,3,3,3,3,2,2,2.45
48,49,猫,兔子,nouns,0,2,2,0,1,1,0,0,0,0,0,0.55
786,787,蜜蜂,蚂蚁,nouns,0,1,0,1,0,1,0,0,0,0,2,0.45
26,27,暴民,人群,nouns,0,0,1,1,2,2,2,0,0,0,2,0.91
574,575,烟草,香烟,nouns,4,6,5,4,4,5,6,5,5,5,4,4.82
211,212,花,灌木,nouns,0,2,0,2,0,2,0,0,0,1,0,0.64
50,51,徽章,玻璃,nouns,0,0,0,1,0,0,0,0,0,0,0,0.09
373,374,鼻子,嘴巴,nouns,0,0,0,1,0,0,0,0,0,0,0,0.09
25,26,环球航行,行李,nouns,0,0,0,0,0,0,0,0,0,0,0,0
513,514,智力,洞察力,nouns,4,1,0,3,3,2,2,2,5,1,3,2.36
4,5,手,脚,nouns,0,2,2,0,0,0,0,0,0,0,1,0.45
262,263,风尚,时装,nouns,5,4,2,3,0,2,0,3,3,3,2,2.45
463,464,证明,事实,nouns,0,0,0,1,4,4,0,0,0,0,0,0.82
49,50,生物学家,显微镜,nouns,0,0,0,0,0,1,0,0,0,1,0,0.18
284,285,仆人,奴隶,nouns,3,4,2,2,4,4,3,5,3,4,3,3.36
695,696,肌肉,舌头,nouns,1,1,0,1,0,1,0,0,0,0,0,0.36
937,938,数学家,节目,nouns,0,0,0,0,0,0,0,0,0,0,0,0
960,961,代码,符号,nouns,0,3,5,3,3,4,2,4,5,2,1,2.91
146,147,乳制品,蜜糖,nouns,0,0,0,0,0,3,0,0,0,0,1,0.36
247,248,雪,冰,nouns,0,3,4,4,6,4,0,3,0,1,3,2.55
516,517,酒,白兰地酒,nouns,3,5,5,5,2,5,3,3,3,1,5,3.64
452,453,价值观,信念,nouns,0,2,6,3,4,5,5,5,3,3,3,3.55
712,713,雪,天气,nouns,0,1,0,2,2,4,0,3,3,1,3,1.73
572,573,手指,手掌,nouns,0,0,0,3,2,3,0,3,5,1,3,1.82
278,279,价值,价格,nouns,4,3,3,3,4,6,4,5,3,3,3,3.73
108,109,秒,分钟,nouns,3,1,0,3,6,2,0,3,2,2,1,2.09
475,476,一分钱,尺寸,nouns,0,0,0,0,0,0,0,0,0,0,0,0
195,196,逻辑,算术,nouns,0,0,4,2,4,3,0,3,3,1,3,2.09
548,549,牛,家牛,nouns,4,6,5,3,3,3,3,3,3,3,3,3.55
754,755,人群,束,nouns,0,0,0,0,0,0,0,0,0,0,0,0
442,443,云,窗口,nouns,0,0,0,0,0,0,0,0,0,0,0,0
209,210,大主教,主教,nouns,5,5,5,3,4,4,5,3,3,5,5,4.27
940,941,世纪,年,nouns,2,2,1,1,6,3,0,1,3,1,2,2
22,23,行动,课程,nouns,0,0,1,0,0,2,0,0,0,1,0,0.36
186,187,身体,肚子,nouns,0,0,0,2,2,4,0,3,3,3,2,1.73
215,216,暴风雨,飓风,nouns,5,2,4,3,2,4,0,1,3,2,3,2.64
1002,1003,指甲,手,nouns,0,1,0,0,1,2,0,0,0,0,2,0.55
235,236,衣服,壁橱,nouns,0,2,0,1,3,0,0,0,0,0,0,0.55
292,293,男孩,孩子,nouns,2,3,5,3,2,6,4,3,3,3,3,3.36
427,428,大气层,臭氧,nouns,3,3,5,2,2,2,2,3,3,1,3,2.64
1004,1005,意见,主意,nouns,4,0,6,4,4,2,4,5,5,4,3,3.73
602,603,契约,协议,nouns,3,6,5,5,6,4,5,5,5,4,3,4.64
6,7,磁盘,电脑,nouns,0,2,1,0,0,0,1,0,0,1,1,0.55
148,149,晚餐,汤,nouns,0,0,0,0,1,4,0,0,0,0,0,0.45
318,319,水,盐,nouns,0,1,0,2,0,1,0,0,0,0,0,0.36
994,995,男人,嫌疑人,nouns,0,0,0,2,2,1,0,0,0,0,1,0.55
15,16,朋友,宾客,nouns,2,4,2,2,1,5,4,6,5,2,2,3.18
628,629,衣服,布料,nouns,2,0,2,0,2,0,0,1,5,2,2,1.45
61,62,家伙,帅哥,nouns,0,2,2,0,1,3,1,0,0,0,0,0.82
405,406,吉他,鼓,nouns,0,1,0,1,0,2,0,0,0,0,0,0.36
193,194,歌剧,电影,nouns,0,1,3,2,0,4,0,0,0,0,0,0.91
589,590,海军,岛,nouns,0,0,0,0,0,1,0,0,0,0,0,0.09
514,515,大自然,植物群,nouns,3,3,0,5,3,3,0,1,0,0,2,1.82
413,414,犯罪,违反,nouns,4,4,3,5,3,3,3,3,3,5,2,3.45
355,356,橡木,枫木,nouns,3,4,0,3,2,5,0,3,2,1,3,2.36
526,527,蝙蝠,吸血鬼,nouns,0,2,0,0,0,2,0,0,0,1,1,0.55
19,20,伞,暖炉,nouns,0,0,0,0,0,1,0,0,0,0,0,0.09
547,548,财富,声望,nouns,0,0,0,1,0,5,0,0,0,1,0,0.64
16,17,生日,日期,nouns,2,1,1,3,1,2,1,2,1,1,1,1.45
580,581,副驾驶,座舱,nouns,0,3,0,1,0,3,0,0,0,0,0,0.64
39,40,传感器,散热器,nouns,0,0,2,1,0,1,0,0,0,0,0,0.36
295,296,学校,年级,nouns,0,2,0,2,0,4,0,1,1,1,1,1.09
449,450,歌曲,演员,nouns,0,0,0,1,0,3,0,0,0,0,0,0.36
571,572,花朵,忍耐力,nouns,0,0,0,0,0,5,0,0,0,0,0,0.45
1015,1016,面包,小麦粉,nouns,0,2,0,4,1,2,0,3,3,1,3,1.73
816,817,昆虫,蜜蜂,nouns,3,4,5,4,2,0,3,5,5,1,1,3
623,624,喇叭,鼓,nouns,0,0,0,1,0,0,0,0,0,0,0,0.09
596,597,心情,情感,nouns,2,3,5,4,3,5,0,2,3,5,3,3.18
5,6,传记,小说,nouns,0,3,4,4,3,4,2,2,3,1,3,2.64
70,71,活塞,发动机,nouns,0,3,2,0,0,3,0,1,1,2,1,1.18
319,320,人口,人,nouns,0,2,5,3,3,4,0,3,2,4,2,2.55
336,337,飞机,喷气式飞机,nouns,0,5,5,3,6,6,3,3,2,2,4,3.55
188,189,容器,静脉,nouns,0,0,0,0,0,0,0,0,0,0,0,0
959,960,地板,甲板,nouns,1,3,0,3,3,1,2,4,5,1,3,2.36
746,747,南,北,nouns,0,0,0,1,0,0,0,0,0,0,1,0.18
374,375,纱,线,nouns,0,2,0,2,0,3,2,3,3,0,1,1.45
239,240,房间,单身牢房,nouns,1,1,4,1,6,4,0,3,1,1,3,2.27
286,287,下面,侧面,nouns,0,1,0,1,0,0,0,0,0,0,0,0.18
857,858,公司,企业,nouns,5,5,5,5,5,4,5,3,6,4,4,4.64
992,993,音节,词元,nouns,0,1,4,2,0,2,0,0,0,0,2,1
784,785,律师,画廊,nouns,0,0,0,0,0,0,0,0,0,0,0,0
789,790,男人,武士,nouns,0,0,0,0,1,1,2,0,0,0,2,0.55
864,865,城镇,城市,nouns,0,4,4,6,3,4,3,4,5,4,5,3.82
824,825,蛇,蜥蜴,nouns,0,2,0,1,0,5,0,0,0,0,2,0.91
1034,1035,地图,广场,nouns,0,0,0,2,0,0,0,0,0,0,1,0.27
567,568,锡,铝,nouns,0,2,0,1,0,0,0,0,0,5,0,0.73
451,452,水平,得分,nouns,0,0,0,0,3,4,0,0,0,1,0,0.73
799,800,门,门口,nouns,3,5,4,5,4,5,0,1,4,5,4,3.64
199,200,指甲,拇指,nouns,0,0,0,2,0,3,0,0,0,0,0,0.45
141,142,甲板,老鼠,nouns,0,0,0,0,0,0,0,0,0,0,0,0
436,437,大厦,雕塑家,nouns,0,0,0,0,0,0,0,0,0,0,0,0
766,767,单身牢房,锁起来,nouns,0,5,0,0,3,0,0,2,0,0,2,1.09
717,718,王冠,锁匙,nouns,0,0,0,0,0,0,0,0,0,0,0,0
326,327,电线,软线,nouns,0,0,1,2,2,4,2,0,1,0,1,1.18
408,409,图表,图解,nouns,3,3,3,3,2,2,4,5,2,5,3,3.18
951,952,成年人,监护人,nouns,0,1,4,3,4,5,0,3,5,2,2,2.64
1013,1014,翻译者,外国人,nouns,0,1,0,0,2,0,0,0,0,0,1,0.36
798,799,月亮,行星,nouns,4,6,3,4,3,5,0,2,0,1,2,2.73
946,947,歌谣,歌曲,nouns,4,5,4,3,2,4,3,3,2,1,3,3.09
682,683,钱包,袋,nouns,0,2,1,1,1,3,1,0,0,1,0,0.91
420,421,键盘,光,nouns,0,0,0,1,0,0,0,0,0,0,0,0.09
661,662,冬天,夏天,nouns,0,0,0,1,0,0,0,0,0,0,0,0.09
921,922,菜单,点菜,nouns,1,3,0,3,2,3,0,0,0,1,3,1.45
1049,1050,血液,肉,nouns,0,0,0,2,0,1,0,0,0,0,1,0.36
694,695,新娘,公主,nouns,0,0,0,0,1,0,0,0,0,1,0,0.18
402,403,任务,稻草,nouns,0,0,0,0,0,0,0,0,0,0,0,0
198,199,裁判官,法官,nouns,4,4,5,3,2,5,0,3,3,4,6,3.55
918,919,分界线,国境,nouns,4,2,2,4,1,6,3,2,4,3,4,3.18
397,398,书,正文,nouns,4,2,2,3,1,5,0,4,2,2,3,2.55
386,387,癌症,疾病,nouns,4,5,4,5,2,5,4,3,5,1,5,3.91
126,127,优雅,风格,nouns,0,2,4,3,2,0,2,2,3,1,1,1.82
89,90,星,明亮,nouns,0,0,0,2,0,0,0,0,0,1,0,0.27
1634,1635,失败,使气馁,verbs,5,2,4,3,5,3,0,4,5,1,1,3
1705,1706,掩盖,保护,verbs,0,0,3,4,2,4,0,0,0,0,0,1.18
1394,1395,偷,购买,verbs,0,0,0,2,0,2,0,0,2,0,0,0.55
1443,1444,说话,低语,verbs,2,5,4,3,3,3,4,3,3,1,2,3
1680,1681,提醒,忘记,verbs,0,0,0,2,0,2,0,0,0,0,0,0.36
1396,1397,问,求情,verbs,0,0,0,1,0,2,0,0,0,0,0,0.27
1454,1455,听,听见,verbs,5,6,6,5,5,5,3,3,4,1,4,4.27
1635,1636,侮辱,得罪,verbs,3,0,3,3,5,4,3,4,3,1,2,2.82
1696,1697,完成,毕业,verbs,3,0,1,2,1,4,3,3,5,1,3,2.36
1725,1726,玩,搏斗,verbs,0,1,0,1,1,1,0,0,0,0,0,0.36
1742,1743,搜索,看,verbs,0,0,2,1,0,1,4,1,2,1,0,1.09
1344,1345,告诉,提醒,verbs,3,3,4,4,4,3,0,3,3,1,4,2.91
1598,1599,攻击,加剧,verbs,0,0,0,2,0,2,0,0,0,0,0,0.36
1607,1608,接受,原谅,verbs,4,2,2,3,2,3,4,2,4,1,1,2.55
1697,1698,创建,做,verbs,0,0,0,1,2,1,0,2,3,0,0,0.82
1564,1565,戏弄,伤害,verbs,0,2,0,1,0,3,0,0,0,1,0,0.64
1330,1331,腐烂,毁灭,verbs,4,3,0,3,3,4,3,4,3,2,0,2.64
1339,1340,找到,消失,verbs,0,0,0,0,0,0,0,0,0,0,0,0
1463,1464,断绝亲子关系,疏忽,verbs,0,0,0,0,0,0,0,0,0,0,0,0
1591,1592,记得,想,verbs,0,0,0,0,0,4,0,0,0,0,0,0.36
1726,1727,接受,承认,verbs,4,2,6,4,1,4,5,5,3,1,1,3.27
1608,1609,给,偷,verbs,0,0,0,2,0,2,0,0,0,0,0,0.36
1352,1353,咬,搏斗,verbs,0,2,4,1,3,3,0,3,2,0,1,1.73
1640,1641,成功,失败,verbs,0,0,0,2,0,2,0,0,0,0,0,0.36
1353,1354,说谎,装作,verbs,4,4,3,3,5,0,0,1,3,1,1,2.27
1456,1457,聚集,收集,verbs,4,5,4,4,1,4,0,2,5,0,1,2.73
1387,1388,出席,到达,verbs,3,2,0,3,3,3,5,6,5,3,1,3.09
1487,1488,做,戒除,verbs,0,0,0,0,0,0,0,0,0,0,0,0
1300,1301,批评,讨厌,verbs,0,1,0,1,0,0,0,0,0,1,2,0.45
1573,1574,离开,参加,verbs,0,0,0,2,0,2,0,0,0,0,0,0.36
1690,1691,搜索,狩猎,verbs,0,0,0,2,1,3,2,0,0,0,0,0.73
1652,1653,逃跑,逃走,verbs,6,6,6,6,5,6,6,6,6,5,4,5.64
1617,1618,杀,防守,verbs,0,0,0,2,0,2,0,0,0,0,0,0.36
1713,1714,打,吸引,verbs,0,0,0,0,0,0,0,0,0,0,0,0
1317,1318,使心烦,受伤,verbs,0,0,0,1,0,0,0,0,0,0,0,0.09
1711,1712,讨论,说明,verbs,0,3,2,3,2,3,0,3,3,1,2,2
1517,1518,忽略,避免,verbs,0,0,0,0,0,0,0,0,0,0,0,0
1410,1411,使灰心,使气馁,verbs,5,6,6,3,5,3,5,6,5,5,3,4.73
1599,1600,追求,说服,verbs,0,0,0,1,0,1,0,0,0,0,0,0.18
1342,1343,离开,徘徊,verbs,0,0,0,0,0,1,0,0,0,0,0,0.09
1474,1475,羞辱,安慰,verbs,0,0,0,1,0,1,0,0,0,0,0,0.18
1296,1297,停,驾驶,verbs,0,0,0,1,0,0,0,0,0,0,0,0.09
1665,1666,傻笑,大笑,verbs,5,3,4,4,4,4,0,3,3,1,3,3.09
1533,1534,允许,反驳,verbs,0,0,0,0,0,0,0,0,0,0,0,0
1408,1409,搜索,查询,verbs,4,6,5,4,3,4,4,5,4,3,1,3.91
1379,1380,离开,忽略,verbs,0,1,0,0,0,3,0,0,0,0,0,0.36
1349,1350,分数,评分,verbs,4,1,0,3,4,5,4,5,3,1,2,2.91
1374,1375,分析,评估,verbs,4,6,4,6,5,6,3,4,5,3,3,4.45
1586,1587,出席,争论,verbs,0,0,0,1,0,1,0,0,0,0,0,0.18
1633,1634,步行,站立,verbs,0,0,0,1,2,1,0,0,0,0,0,0.36
1423,1424,混合,溶解,verbs,0,1,1,2,0,2,0,0,0,0,0,0.55
1351,1352,收藏,保存,verbs,3,6,5,5,5,6,3,5,5,3,4,4.55
1414,1415,拿,交付,verbs,0,0,0,1,0,1,0,0,0,0,0,0.18
1590,1591,做,赚,verbs,0,0,0,2,0,2,0,0,0,0,0,0.36
1514,1515,捏,用拳猛击,verbs,0,0,0,2,0,2,0,0,0,0,0,0.36
1606,1607,放开,按下,verbs,0,0,0,0,0,0,0,0,0,0,0,0
1404,1405,担心,浪费,verbs,0,0,0,0,0,0,0,0,0,0,0,0
1489,1490,知道,理解,verbs,5,4,5,4,4,4,5,2,4,3,2,3.82
1419,1420,选择,挑选,verbs,0,3,5,5,3,5,2,4,5,2,5,3.55
1309,1310,了解,原谅,verbs,0,0,0,1,2,2,0,2,0,0,0,0.64
1304,1305,借,乞求,verbs,0,0,3,5,3,0,1,0,0,0,0,1.09
1490,1491,拿,拥有,verbs,0,0,0,0,0,3,0,0,1,0,0,0.36
1681,1682,离开,留,verbs,0,0,0,0,0,2,0,0,0,0,0,0.18
1561,1562,到达,离开,verbs,0,0,0,0,0,3,0,0,0,0,0,0.27
1393,1394,创建,潜水,verbs,0,0,0,0,0,0,0,0,0,0,0,0
1739,1740,享受,娱乐,verbs,0,0,0,3,0,3,3,2,0,0,0,1
1737,1738,建议,劝告,verbs,0,0,3,5,3,5,3,2,4,5,2,2.91
1485,1486,编织,移动,verbs,0,0,0,0,0,0,0,0,0,0,0,0
1403,1404,运输,电梯,verbs,0,0,0,0,3,4,0,1,3,2,3,1.45
1723,1724,留,保留,verbs,5,6,1,4,2,4,5,3,5,3,2,3.64
1458,1459,同意,争论,verbs,0,0,0,2,0,2,0,0,0,0,0,0.36
1422,1423,选择,选举,verbs,3,3,4,1,2,5,0,4,5,1,2,2.73
1388,1389,假设,预测,verbs,5,5,4,5,5,5,5,5,5,4,5,4.82
1521,1522,欲望,想要,verbs,4,4,5,5,5,5,4,3,5,3,3,4.18
1357,1358,赦免,原谅,verbs,0,5,4,6,5,5,2,5,4,4,2,3.82
1511,1512,啜,大口地吃,verbs,0,0,0,1,0,1,0,0,2,0,0,0.36
1346,1347,驱逐,离开,verbs,3,6,0,3,1,2,1,3,2,1,4,2.36
1513,1514,坠落,伤害,verbs,0,0,0,0,2,4,0,0,0,0,0,0.55
1539,1540,成功,尝试,verbs,0,0,0,0,0,3,0,0,0,0,0,0.27
1627,1628,承诺,发誓,verbs,4,6,4,5,5,5,0,3,5,4,2,3.91
1430,1431,带来,抱怨,verbs,0,0,0,1,0,1,0,0,0,0,0,0.18
1457,1458,成长,增加,verbs,0,0,0,2,1,4,0,0,0,3,0,0.91
1499,1500,让,允许,verbs,4,3,4,4,4,4,5,3,2,2,3,3.45
1324,1325,敬礼,演出,verbs,0,0,0,0,0,0,0,0,0,0,0,0
1376,1377,聚集,见面,verbs,0,0,0,0,2,3,0,0,0,1,1,0.64
1358,1359,生活,生存,verbs,3,3,1,3,2,5,0,3,3,2,2,2.45
1390,1391,安排,组织,verbs,0,0,0,0,5,0,0,0,0,3,1,0.82
1745,1746,降低,减少,verbs,5,3,6,6,4,6,0,2,3,3,4,3.82
1741,1742,找到,逃逸,verbs,0,0,0,0,0,0,0,0,0,0,0,0
1674,1675,珍爱,保持,verbs,0,0,0,2,0,3,0,0,0,0,0,0.45
1501,1502,给,知道,verbs,0,0,0,0,0,0,0,0,0,0,0,0
1691,1692,装作,似乎,verbs,0,0,0,0,0,3,0,0,0,0,0,0.27
1636,1637,花费,节约,verbs,0,3,0,2,0,2,0,0,0,0,0,0.64
1363,1364,拖着脚走,骑,verbs,0,0,0,0,0,0,0,0,0,0,0,0
1356,1357,煮沸,炒,verbs,0,4,0,3,0,0,0,0,0,0,1,0.73
1550,1551,漂移,流,verbs,0,3,3,1,0,4,0,4,3,2,2,2
1579,1580,知道,相信,verbs,0,1,0,1,0,4,1,0,0,3,0,0.91
1618,1619,举起,提高,verbs,5,4,5,5,3,5,1,3,4,4,0,3.55
1754,1755,发射,发送,verbs,0,6,4,4,1,5,3,2,5,0,2,2.91
1431,1432,竞争,完成,verbs,0,0,0,0,0,0,0,0,0,0,0,0
1362,1363,抖动,搅拌,verbs,4,1,0,3,2,3,2,1,3,0,2,1.91
1714,1715,给,断绝亲子关系,verbs,0,0,0,0,0,0,0,0,0,0,0,0
1671,1672,参与,加入,verbs,4,4,6,4,4,4,5,5,5,3,2,4.18
1467,1468,走,发送,verbs,0,0,0,0,0,0,0,0,0,1,0,0.09
1391,1392,获得,偷,verbs,0,1,3,3,2,3,0,0,2,0,0,1.27
1377,1378,发光,照耀,verbs,4,6,4,5,4,5,3,2,3,3,2,3.73
1575,1576,提醒,卖,verbs,0,0,0,0,0,0,0,0,0,0,0,0
1727,1728,争论,叫喊,verbs,0,3,1,2,2,2,0,0,2,0,0,1.09
1614,1615,收到,接受,verbs,0,4,2,2,0,2,0,0,0,0,0,0.91
1526,1527,混合,联合,verbs,5,0,0,3,3,3,0,2,1,0,1,1.64
1537,1538,控制,停止,verbs,0,0,0,1,0,1,0,0,0,1,0,0.27
1594,1595,做,发生,verbs,0,0,0,0,0,0,0,0,0,0,0,0
1462,1463,离开,走开,verbs,5,3,5,5,3,5,3,6,5,2,3,4.09
1706,1707,读,理解,verbs,0,0,0,1,0,4,0,0,0,1,1,0.64
1700,1701,装作,想像,verbs,0,0,0,0,0,2,0,0,0,0,0,0.18
1318,1319,跟随,追逐,verbs,2,1,4,3,1,2,3,6,4,4,1,2.82
1730,1731,加,除,verbs,0,0,0,2,0,2,0,0,0,0,1,0.45
